Date,Product,Region,Quantity,Unit_Price,Sales,Profit
2026-04-01 18:09:04.537815126,Keyboard,South,9,800,7200,1047.73
2026-04-03 06:27:13.613445378,Mouse,South,4,500,2000,391.75
2026-04-04 18:45:22.689075630,Headphones,North,1,2500,2500,344.77
2026-04-06 07:03:31.764705882,Monitor,South,2,4000,8000,994.54
2026-04-07 19:21:40.840336134,Laptop,North,1,2500,2500,410.82
2026-04-09 07:39:49.915966386,Keyboard,North,5,500,2500,494.48
2026-04-10 19:57:58.991596638,Mobile,South,5,6000,30000,4176.52
2026-04-12 08:16:08.067226890,Keyboard,West,7,6000,42000,10047.67
2026-04-13 20:34:17.142857142,Mobile,West,9,2500,22500,1949.89
2026-04-15 08:52:26.218487394,Monitor,West,9,1200,10800,1631.35
2026-04-16 21:10:35.294117646,Monitor,West,3,2500,7500,1833.67
2026-04-18 09:28:44.369747898,Monitor,West,3,800,2400,415.57
2026-04-19 21:46:53.445378150,Mobile,South,3,800,2400,364.78
2026-04-21 10:05:02.521008402,Keyboard,South,4,6000,24000,4239.56
2026-04-22 22:23:11.596638654,Monitor,East,8,1200,9600,1707.91
2026-04-24 10:41:20.672268908,Mouse,West,6,500,3000,613.14
2026-04-25 22:59:29.747899160,Mobile,South,8,800,6400,650.93
2026-04-27 11:17:38.823529412,Mobile,East,1,6000,6000,735.02
2026-04-28 23:35:47.899159664,Keyboard,West,8,4000,32000,5718.16
2026-04-30 11:53:56.974789916,Mobile,North,4,6000,24000,5457.84
2026-05-02 00:12:06.050420168,Mobile,East,1,800,800,140.41
2026-05-03 12:30:15.126050420,Monitor,South,8,800,6400,771.59
2026-05-05 00:48:24.201680672,Keyboard,North,4,6000,24000,4693.77
2026-05-06 13:06:33.277310924,Monitor,North,6,500,3000,617.35
2026-05-08 01:24:42.352941176,Monitor,North,8,2500,20000,2410.0
2026-05-09 13:42:51.428571428,Keyboard,East,4,800,3200,461.48
2026-05-11 02:01:00.504201680,Laptop,South,3,6000,18000,3075.04
2026-05-12 14:19:09.579831932,Monitor,North,9,6000,54000,8878.43
2026-05-14 02:37:18.655462184,Mouse,West,3,1200,3600,526.45
2026-05-15 14:55:27.731092436,Mouse,North,9,2500,22500,2938.45
2026-05-17 03:13:36.806722688,Mobile,North,2,4000,8000,775.98
2026-05-18 15:31:45.882352940,Mouse,East,2,500,1000,89.09
2026-05-20 03:49:54.957983192,Mobile,East,2,4000,8000,1943.62
2026-05-21 16:08:04.033613444,Laptop,South,6,2500,15000,3360.22
2026-05-23 04:26:13.109243696,Keyboard,West,3,2500,7500,1052.5
2026-05-24 16:44:22.184873948,Keyboard,East,9,2500,22500,5459.76
2026-05-26 05:02:31.260504200,Keyboard,North,4,4000,16000,3120.81
2026-05-27 17:20:40.336134454,Mouse,South,1,2500,2500,405.07
2026-05-29 05:38:49.411764706,Laptop,North,4,6000,24000,3931.54
2026-05-30 17:56:58.487394958,Mouse,North,1,4000,4000,376.63
2026-06-01 06:15:07.563025210,Mouse,East,5,2500,12500,1194.87
2026-06-02 18:33:16.638655462,Laptop,South,4,6000,24000,4377.96
2026-06-04 06:51:25.714285714,Laptop,West,8,1200,9600,1671.64
2026-06-05 19:09:34.789915966,Laptop,West,8,2500,20000,2323.27
2026-06-07 07:27:43.865546218,Laptop,East,7,4000,28000,6743.89
2026-06-08 19:45:52.941176470,Keyboard,East,3,800,2400,510.77
2026-06-10 08:04:02.016806722,Headphones,South,1,2500,2500,248.22
2026-06-11 20:22:11.092436974,Headphones,West,1,800,800,190.61
2026-06-13 08:40:20.168067226,Laptop,West,3,6000,18000,4421.2
2026-06-14 20:58:29.243697478,Headphones,West,6,1200,7200,1795.02
2026-06-16 09:16:38.319327730,Headphones,North,7,500,3500,313.24
2026-06-17 21:34:47.394957982,Laptop,West,6,1200,7200,1478.13
2026-06-19 09:52:56.470588234,Headphones,North,6,2500,15000,2592.09
2026-06-20 22:11:05.546218486,Mouse,South,6,800,4800,959.96
2026-06-22 10:29:14.621848738,Mobile,North,3,800,2400,587.21
2026-06-23 22:47:23.697478990,Mobile,South,6,4000,24000,4727.16
2026-06-25 11:05:32.773109242,Laptop,West,8,800,6400,1422.62
2026-06-26 23:23:41.848739494,Keyboard,West,2,4000,8000,1818.94
2026-06-28 11:41:50.924369748,Laptop,South,5,6000,30000,6676.25
2026-06-30 00:00:00.000000000,Keyboard,East,1,500,500,76.22
